Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R78        RES0805             38.7349mm      64.135mm     38.7349mm      64.135mm      37.685mm      64.135mm  T        360.00 RES0805 10K 1% 
R68        RES0805             38.7349mm      69.215mm     38.7349mm      69.215mm      37.685mm      69.215mm  T        360.00 RES0805 10K 1% 
R67        RES0805             38.7349mm      71.755mm     38.7349mm      71.755mm      37.685mm      71.755mm  T        360.00 RES0805 10K 1% 
R60        RES0805             38.7349mm      74.295mm     38.7349mm      74.295mm      37.685mm      74.295mm  T        360.00 RES0805 10K 1% 
R57        RES0805             38.7349mm      76.835mm     38.7349mm      76.835mm      37.685mm      76.835mm  T        360.00 RES0805 10K 1% 
R101       RES0805              166.37mm      57.277mm      166.37mm      57.277mm      165.32mm      57.277mm  T        360.00 RES0805 3K3 1% 
U3         SOIC8                119.38mm     136.525mm      119.38mm     136.525mm      116.98mm      138.43mm  T        360.00 HCPL0631       
U4         SOIC8                119.38mm     130.175mm      119.38mm     130.175mm      116.98mm      132.08mm  T        360.00 HCPL0631       
U14        DIP-4                119.38mm      93.345mm      119.38mm      93.345mm      123.19mm      92.075mm  T        180.00 Optoisolator1  
U12        DIP-4                119.38mm       99.06mm      119.38mm       99.06mm      115.57mm      100.33mm  T        360.00 Optoisolator1  
U15        DIP-4                119.38mm       87.63mm      119.38mm       87.63mm      123.19mm       86.36mm  T        180.00 Optoisolator1  
U22        SOIC8                143.51mm      62.865mm      143.51mm      62.865mm      145.91mm       60.96mm  T        180.00 TL431ACD       
U6         SOIC8                119.38mm     123.825mm      119.38mm     123.825mm      116.98mm      125.73mm  T          0.00 HCPL0631       
U23        SOIC8               159.385mm       60.96mm     159.385mm       60.96mm     161.785mm      59.055mm  T        180.00 LM358AD        
U25        SOIC8                143.51mm      53.975mm      143.51mm      53.975mm      141.11mm       55.88mm  T          0.00 TLC6515CD      
U8         SOIC8                119.38mm     117.475mm      119.38mm     117.475mm      116.98mm      119.38mm  T          0.00 HCPL0631       
U43        MSOP8                142.24mm      27.305mm      142.24mm      27.305mm     144.215mm       26.33mm  T        180.00 MCP3201-CI/MS  
U44        SOIC8                156.21mm      26.035mm      156.21mm      26.035mm      158.61mm       24.13mm  T        180.00 MCP601         
U42        MSOP8                142.24mm      34.925mm      142.24mm      34.925mm     144.215mm       33.95mm  T        180.00 MCP3201-CI/MS  
U41        SOIC8                156.21mm       34.29mm      156.21mm       34.29mm      158.61mm      32.385mm  T        180.00 MCP601         
U11        SOIC8                119.38mm     104.775mm      119.38mm     104.775mm      121.78mm      102.87mm  T        180.00 HCPL0631       
U9         SOIC8                119.38mm     111.125mm      119.38mm     111.125mm      116.98mm      113.03mm  T          0.00 HCPL0631       
Q1         TO-263AB            149.225mm      135.89mm      154.94mm      135.89mm      143.51mm     138.485mm  T        270.00 IRL640SPBF     
Q9         TO-263AB            149.225mm     111.633mm      154.94mm     111.633mm      143.51mm     114.228mm  T        270.00 IRL640SPBF     
Q16        TO-263AB            149.225mm      75.565mm      154.94mm      75.565mm      143.51mm       78.16mm  T        270.00 IRL640SPBF     
Q14        TO-263AB            149.225mm       87.63mm      154.94mm       87.63mm      143.51mm      90.225mm  T        270.00 IRL640SPBF     
Q6         TO-263AB            149.225mm     123.825mm      154.94mm     123.825mm      143.51mm      126.42mm  T        270.00 IRL640SPBF     
