Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R98        RES0805              93.345mm      56.515mm      93.345mm      56.515mm      93.345mm      55.465mm  T         90.00 RES0805 1K 1%  
R119       RES0805             104.775mm      41.275mm     104.775mm      41.275mm     104.775mm      42.325mm  T        270.00 RES0805 220R 1%
R100       RES0805             104.775mm      56.515mm     104.775mm      56.515mm     104.775mm      55.465mm  T         90.00 RES0805 1K 1%  
R103       RES0805                 127mm       57.15mm         127mm       57.15mm      125.95mm       57.15mm  T        360.00 RES0805 220R 1%
R83        RES0805              111.76mm      60.325mm      111.76mm      60.325mm      112.81mm      60.325mm  T        180.00 RES0805 1K 1%  
R97        RES0805               90.17mm      56.515mm       90.17mm      56.515mm       90.17mm      57.565mm  T        270.00 RES0805 100R 1%
R116       RES0805               90.17mm      41.275mm       90.17mm      41.275mm       90.17mm      42.325mm  T        270.00 RES0805 1K 1%  
R118       RES0805               99.06mm      41.275mm       99.06mm      41.275mm       99.06mm      42.325mm  T        270.00 RES0805 1K 1%  
R99        RES0805               99.06mm      56.515mm       99.06mm      56.515mm       99.06mm      55.465mm  T         90.00 RES0805 1K 1%  
R81        RES0805                 127mm      62.865mm         127mm      62.865mm      128.05mm      62.865mm  T        180.00 RES0805 4K7 1% 
R75        RES0805              111.76mm      62.865mm      111.76mm      62.865mm      110.71mm      62.865mm  T        360.00 RES0805 100R 1%
R61        RES0805                 127mm      74.295mm         127mm      74.295mm      125.95mm      74.295mm  T        360.00 RES0805 100R 1%
R58        RES0805              111.76mm      80.645mm      111.76mm      80.645mm      110.71mm      80.645mm  T        360.00 RES0805 100R 1%
R52        RES0805                 127mm       82.55mm         127mm       82.55mm      125.95mm       82.55mm  T        360.00 RES0805 220R 1%
R54        RES0805              111.76mm      83.185mm      111.76mm      83.185mm      112.81mm      83.185mm  T        180.00 RES0805 1K 1%  
Q31        SOT23               144.145mm      -6.985mm     144.145mm      -6.985mm     145.345mm      -6.035mm  B        180.00 BC857          
U33        DIP-4                 66.04mm      48.895mm       66.04mm      48.895mm       67.31mm      52.705mm  T        270.00 Optoisolator1  
R94        RES0805             67.3108mm      56.261mm     67.3108mm      56.261mm     67.3108mm      57.311mm  T        270.00 RES0805 100R 1%
R113       RES0805               67.31mm      41.275mm       67.31mm      41.275mm       67.31mm      42.325mm  T        270.00 RES0805 510R 1%
R134       RES0805              94.107mm       24.13mm      94.107mm       24.13mm      94.107mm       23.08mm  T         90.00 RES0805 1K 1%  
R138       RES0805               93.98mm      14.605mm       93.98mm      14.605mm       93.98mm      13.555mm  T         90.00 RES0805 220R 1%
Q26        SOT23                 95.25mm       31.75mm       95.25mm       31.75mm        94.3mm       30.55mm  T         90.00 BC847          
Q30        SOT23                 95.25mm       19.05mm       95.25mm       19.05mm       94.05mm          20mm  T          0.00 BC847          
LED10      LED_0603              96.52mm      14.605mm       96.52mm      14.605mm       96.52mm      15.355mm  T        270.00 LED 0603       
D18        DO-41               107.315mm       34.29mm     107.315mm       34.29mm     102.085mm       34.29mm  T        360.00 Diode 1N4007   
U26        DIP-4                26.035mm      48.895mm      26.035mm      48.895mm      27.305mm      52.705mm  T        270.00 Optoisolator1  
R87        RES0805              27.305mm      56.515mm      27.305mm      56.515mm      27.305mm      57.565mm  T        270.00 RES0805 330R 1%
R106       RES0805              27.305mm      41.275mm      27.305mm      41.275mm      27.305mm      42.325mm  T        270.00 RES0805 1K 1%  
R79        RES0805              45.085mm       60.96mm      45.085mm       60.96mm      45.085mm       59.91mm  T         90.00 RES0805 1K 1%  
LED1       LED_0603             46.355mm      69.088mm      46.355mm      69.088mm      46.355mm      68.338mm  T         90.00 LED 0603       
STM PWR 1  PLCC-2                 12.7mm      93.345mm        12.7mm      93.345mm        12.7mm      91.845mm  T         90.00 LED            
R9         RES0805              53.975mm     139.065mm      53.975mm     139.065mm      55.025mm     139.065mm  T        180.00 RES0805 1K 1%  
