Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C5         CAPC7343             66.452mm      140.22mm      66.452mm      140.22mm      69.952mm      140.22mm  T        180.00 Cap Pol SMD    
C2         CAPC7343             54.514mm     144.157mm      54.514mm     144.157mm      54.514mm     147.657mm  T        270.00 Cap Pol SMD    
R32        RES1206             118.395mm      113.55mm     118.395mm      113.55mm      119.82mm      113.55mm  T        180.00 ChipRes        
R33        RES1206             132.365mm     112.915mm     132.365mm     112.915mm      130.94mm     112.915mm  T        360.00 ChipRes        
C52        CAP0805              76.485mm       91.96mm      76.485mm       91.96mm      76.485mm      93.135mm  B        270.00 ChipCap        
P7         IDC-10MS(MR)          70.77mm       70.37mm       70.77mm       70.37mm       65.69mm        69.1mm  T        360.00 IDC-10MS (JTAG connector)
R66        RES1206               66.96mm      77.863mm       66.96mm      77.863mm       66.96mm      76.438mm  T         90.00 ChipRes        
R65        RES1206              64.928mm      77.863mm      64.928mm      77.863mm      64.928mm      76.438mm  T         90.00 ChipRes        
R64        RES1206              62.896mm      77.863mm      62.896mm      77.863mm      62.896mm      76.438mm  T         90.00 ChipRes        
R63        RES1206               60.61mm      77.863mm       60.61mm      77.863mm       60.61mm      76.438mm  T         90.00 ChipRes        
BOOT1      RES1206               60.61mm     116.725mm       60.61mm     116.725mm       60.61mm       115.3mm  T         90.00 ChipRes        
C7         CAP0805             132.365mm      140.22mm     132.365mm      140.22mm      133.54mm      140.22mm  T        180.00 ChipCap        
C1         CAP0805             132.365mm      147.84mm     132.365mm      147.84mm      133.54mm      147.84mm  T        180.00 ChipCap        
C32        CAP0805             159.035mm      63.385mm     159.035mm      63.385mm      160.21mm      63.385mm  T        180.00 ChipCap        
C8         CAP0805             132.365mm       132.6mm     132.365mm       132.6mm      133.54mm       132.6mm  T        180.00 ChipCap        
C11        CAP0805             132.365mm     125.615mm     132.365mm     125.615mm      133.54mm     125.615mm  T        180.00 ChipCap        
C6         CAP0805               59.34mm      140.22mm       59.34mm      140.22mm      60.515mm      140.22mm  T        180.00 ChipCap        
C16        CAP0805               63.15mm     116.725mm       63.15mm     116.725mm       63.15mm      115.55mm  T         90.00 ChipCap        
C37        CAP0805              148.24mm      41.795mm      148.24mm      41.795mm     149.415mm      41.795mm  T        180.00 ChipCap        
C38        CAP0805             164.115mm      39.382mm     164.115mm      39.382mm      165.29mm      39.382mm  T        180.00 ChipCap        
C35        CAP0805              148.24mm      49.415mm      148.24mm      49.415mm     149.415mm      49.415mm  T        180.00 ChipCap        
C36        CAP0805             165.417mm      47.891mm     165.417mm      47.891mm     166.592mm      47.891mm  T        180.00 ChipCap        
C21        CAP0805              117.76mm      108.47mm      117.76mm      108.47mm     116.585mm      108.47mm  T        360.00 ChipCap        
C14        CAP0805             132.365mm     120.535mm     132.365mm     120.535mm      133.54mm     120.535mm  T        180.00 ChipCap        
P3         SOCKET_8x5.08        176.18mm      117.36mm      176.18mm      117.36mm      176.18mm       99.58mm  T        180.00 Terminal Block 8x5.08mm
P5         Socket_4x5.08        176.18mm      84.975mm      176.18mm      84.975mm      176.18mm      77.355mm  T        180.00 Terminal Block 4x5.08mm
P6         WR-CRD_SD_Micro      33.296mm      77.032mm      37.496mm      83.832mm      31.626mm      81.562mm  T        270.00 Micro SD Card Connector
Q4         SOT23               141.001mm      140.22mm     141.001mm      140.22mm     139.801mm      141.17mm  T        360.00 BC847          
Q5         SOT23               145.065mm      140.22mm     145.065mm      140.22mm     143.865mm      141.17mm  T        360.00 BC857          
Q10        SOT23               141.001mm      116.09mm     141.001mm      116.09mm     139.801mm      117.04mm  T        360.00 BC847          
Q11        SOT23               145.065mm      116.09mm     145.065mm      116.09mm     143.865mm      117.04mm  T        360.00 BC857          
Q18        SOT23               142.525mm       79.26mm     142.525mm       79.26mm     141.575mm       78.06mm  T         90.00 BC847          
Q17        SOT23               142.525mm       85.61mm     142.525mm       85.61mm     141.575mm       84.41mm  T         90.00 BC857          
